Dataset,Method,Model,feature_name,shift,observed_gap,predicted_gap,residual,abs_error
OfficeHome,Ours,resnet,Softmax,Fog,-0.1134259259259258,-0.1103492006995056,0.0030767252264202044,0.0030767252264202044
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.1103492006995056,0.005391540041235099,0.005391540041235099
OfficeHome,Ours,resnet,Softmax,Fog,-0.1203703703703703,-0.1103492006995056,0.010021169670864694,0.010021169670864694
OfficeHome,Ours,resnet,Softmax,Fog,-0.1134259259259258,-0.1103492006995056,0.0030767252264202044,0.0030767252264202044
OfficeHome,Ours,resnet,Softmax,Fog,-0.1180555555555555,-0.1103492006995056,0.007706354856049896,0.007706354856049896
OfficeHome,Ours,resnet,Softmax,Fog,-0.0347222222222221,-0.0805569494789499,-0.0458347272567278,0.0458347272567278
OfficeHome,Ours,resnet,Softmax,Fog,-0.0347222222222221,-0.0805569494789499,-0.0458347272567278,0.0458347272567278
OfficeHome,Ours,resnet,Softmax,Fog,-0.0439814814814814,-0.0805569494789499,-0.0365754679974685,0.0365754679974685
OfficeHome,Ours,resnet,Softmax,Fog,-0.048611111111111,-0.0805569494789499,-0.031945838367838895,0.031945838367838895
OfficeHome,Ours,resnet,Softmax,Fog,-0.0416666666666666,-0.0805569494789499,-0.038890282812283294,0.038890282812283294
OfficeHome,Ours,resnet,Softmax,Fog,-0.0439814814814814,-0.0805569494789499,-0.0365754679974685,0.0365754679974685
OfficeHome,Ours,resnet,Softmax,Fog,-0.0393518518518518,-0.0805569494789499,-0.0412050976270981,0.0412050976270981
OfficeHome,Ours,resnet,Softmax,Fog,-0.0393518518518518,-0.0805569494789499,-0.0412050976270981,0.0412050976270981
OfficeHome,Ours,resnet,Softmax,Fog,-0.0393518518518518,-0.0805569494789499,-0.0412050976270981,0.0412050976270981
OfficeHome,Ours,resnet,Softmax,Fog,-0.0462962962962962,-0.0805569494789499,-0.0342606531826537,0.0342606531826537
OfficeHome,Ours,resnet,Softmax,Fog,-0.0439814814814814,-0.0805569494789499,-0.0365754679974685,0.0365754679974685
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.0805569494789499,0.0351837912617908,0.0351837912617908
OfficeHome,Ours,resnet,Softmax,Fog,-0.111111111111111,-0.0805569494789499,0.030554161632161098,0.030554161632161098
OfficeHome,Ours,resnet,Softmax,Fog,-0.1203703703703703,-0.0805569494789499,0.0398134208914204,0.0398134208914204
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.0805569494789499,0.0351837912617908,0.0351837912617908
OfficeHome,Ours,resnet,Softmax,Fog,-0.1134259259259258,-0.0805569494789499,0.03286897644697591,0.03286897644697591
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.0805569494789499,0.0351837912617908,0.0351837912617908
OfficeHome,Ours,resnet,Softmax,Fog,-0.1203703703703703,-0.0805569494789499,0.0398134208914204,0.0398134208914204
OfficeHome,Ours,resnet,Softmax,Fog,-0.1134259259259258,-0.0805569494789499,0.03286897644697591,0.03286897644697591
OfficeHome,Ours,resnet,Softmax,Fog,-0.1180555555555555,-0.0805569494789499,0.0374986060766056,0.0374986060766056
OfficeHome,Ours,resnet,Softmax,Fog,-0.0347222222222221,-0.2030405372849253,-0.1683183150627032,0.1683183150627032
OfficeHome,Ours,resnet,Softmax,Fog,-0.0347222222222221,-0.2030405372849253,-0.1683183150627032,0.1683183150627032
